Title,URL,Procesado,Nota,Votos,Año,Reparto,Director,Compañias,Coproduccion,Generos,Premios
El vicario de Olot,https://www.filmaffinity.com/es/film665217.html,Sí,4.4,170,1981,"Enric Majó, Enric Cusí, Maria Aurèlia Capmany, Marina Rossell, Núria Feliu, Carla Cristi, Marta May, Carmen Pérez, Jordi Brau, Montserrat Carulla, Fernando Guillén, Mary Santpere, Ana Lizarán",Ventura Pons,"Cop-Nou, Germinal Films, Profilmar P.C, P.C. Teide","Films,Profilmar",Comedia,
El dios de madera,https://www.filmaffinity.com/es/film392432.html,Sí,4.4,253,2010,"Marisa Paredes, Madi Diocou, Nao Albet, Soufiane Ouaarab, Empar Ferrer",Vicente Molina Foix,"Sagrera Audiovisual, Metrojavier, DC Media","Audiovisual,Metrojavier,DC","Drama, Inmigración",2010: Málaga: Premio mejor actriz (Marisa Paredes)
40 grados a la sombra,https://www.filmaffinity.com/es/film922786.html,Sí,4.4,475,1967,"Gracita Morales, Antonio Ozores, Alfredo Landa, José Luis López Vázquez, Manuel Velasco, Erika Wallner, Julieta Serrano, Laly Soldevila, Perla Cristal, Ingrid Spaey",Mariano Ozores,"Cinehit, P.E.F.S.A","España-Argentina;Cinehit,P.E.F.S.A",Comedia,
¡Esto es un atraco!,https://www.filmaffinity.com/es/film963894.html,Sí,4.4,533,1987,"Antonio Ozores, Fernando Conde, Alfonso del Real, Flavia Zarzo, Juanito Navarro, Carmen Grey, Jose Lifante, Marisol Ayuso, Rafael Guerrero, Oscar Penas, Carmen Ibarra",Mariano Ozores,Carlos Cascales P. C,Cascales,"Comedia, Robos & Atracos",
"Slugs, muerte viscosa",https://www.filmaffinity.com/es/film382575.html,Sí,4.4,1375,1987,No se encontró información de reparto,Juan Piquer Simón,,España-Estados,"Terror, Animales, Serie B",1988: Premios Goya: Mejores efectos especiales
El liguero mágico,https://www.filmaffinity.com/es/film183140.html,Sí,4.4,1686,1980,"Andrés Pajares, Adriana Vega, Antonio Ozores, Adriana Ozores, María Luisa Ponte, Blaki, María Isbert, Alexia Loreto, Luis Lorenzo, Fernando Bilbao, José Carabias, Silvia Miró, Juan Cabernet, Adrián Ortega, José Riesgo",Mariano Ozores,No se encontró información de compañías,No se encontró información de coproducción,"Comedia, Fantástico, Siglo XIX",
Emergo,https://www.filmaffinity.com/es/film872003.html,Sí,4.4,2063,2011,"Kai Lennox, Michael O'Keefe, Rick Gonzalez, Fiona Glascott, Gia Mantegna, Fermí Reixach, Marcel Barrena, Francesc Garrido, Damian Roman",Carles Torrens,"Kinology, Nostromo Pictures",Pictures,"Terror, Casas encantadas, Sobrenatural, Fantasmas, Falso documental",2011: Festival de Sitges: Sección oficial largometrajes a concurso
Superlópez,https://www.filmaffinity.com/es/film537231.html,Sí,4.4,10099,2018,"Dani Rovira, Alexandra Jiménez, Julián López, Maribel Verdú, Pedro Casablanc, Gracia Olayo, Ferran Rañé, Gonzalo de Castro, Mireia Portas, David Fernández, Jordi Colom, Xavi Colom, Teresa Rodríguez",Javier Ruiz Caldera,"Zeta Cinema, Mediaset España, Movistar Plus+, Telecinco Cinema, Mogambo","Cinema,Mediaset","Comedia, Fantástico, Superhéroes, Cómic","2018: Premios Goya: Mejores efectos especiales. 3 nominaciones, 
2018: Festival de Sitges: Sección oficial (Fuera de concurso), 
2018: Premios Feroz: Nominada a Mejor película (Comedia), 
2018: Premios Gaudí: Mejores efectos visuales. 5 nominaciones"
Ahora o nunca,https://www.filmaffinity.com/es/film968971.html,Sí,4.4,13310,2015,"Dani Rovira, María Valverde, Clara Lago, Joaquín Núñez, Jordi Sánchez, Alicia Rubio, Víctor Sevilla, Yolanda Ramos, Gracia Olayo, Marcel Borrás, Melody, Carlos Cuevas, Anna Gras",María Ripoll,"Atresmedia Cine, Zeta Cinema","Cine,Zeta","Comedia, Comedia romántica, Bodas",
Mi último tango,https://www.filmaffinity.com/es/film697377.html,Sí,4.4,282,1960,"Sara Montiel, Maurice Ronet, Isabel Garcés, Milo Quesada, Luisa de Córdoba, Antonio Vela",Luis César Amadori,"Cesáreo González P.C, Producciones Benito Perojo",González,"Comedia, Musical",
